speech_path,speaker,text,emotion,split
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_base_angry.wav,OAF,base,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_book_angry.wav,OAF,book,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_bought_angry.wav,OAF,bought,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_date_angry.wav,OAF,date,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_deep_angry.wav,OAF,deep,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_dip_angry.wav,OAF,dip,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_dog_angry.wav,OAF,dog,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_fall_angry.wav,OAF,fall,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_food_angry.wav,OAF,food,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_gas_angry.wav,OAF,gas,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_gun_angry.wav,OAF,gun,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_hall_angry.wav,OAF,hall,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_haze_angry.wav,OAF,haze,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_hurl_angry.wav,OAF,hurl,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_hush_angry.wav,OAF,hush,angry,test
C:\Users\sathw\Desktop\IIITH\TESS Toronto emotional speech set data\OAF_angry\OAF_jail_angry.wav,OAF,jail,angry,test
